Postcode-4,Inwoners Totaal (x1),Geboren in Nederland met een Nederlandse herkomst (%),Huishouden Totaal (x1),Huishoudgrootte (x1),Woning Totaal (x1),Eigendom Koopwoning (%),"WOZ-waarde
woning (x 1 000 Euro)",Omgevingsadressendichtheid (adressen/km2)
1354,3030,50,1410,2.1,1360,30,234,2040
1355,3070,70,1355,2.2,1355,50,260,1533
1356,2705,70,1220,2.2,1200,60,283,1081
1357,3490,70,1735,2.0,1715,60,270,1410
1358,580,70,210,2.7,175,90,1131,128
1359,2440,70,900,2.7,875,90,461,712
1361,3975,50,1700,2.3,1700,50,447,1098
1362,40,20,10,5.1,-99997,-99997,-99997,1048
1363,15375,40,6540,2.3,6425,60,359,1567
1381,4950,80,2400,2.0,2440,50,462,1764
1382,10130,60,4845,2.1,4860,50,350,2018
1383,3560,80,1585,2.2,1545,70,382,1160
1384,2130,80,675,3.1,680,100,615,1532
1391,8115,80,3305,2.5,3360,70,602,865
1393,1575,80,670,2.4,650,60,525,214
1394,5545,80,2345,2.3,2295,70,467,389
1396,1455,90,605,2.4,600,70,562,172
1398,4470,80,1895,2.3,1855,60,495,530
1399,3030,80,1280,2.3,1350,70,483,448
1401,4875,80,2025,2.4,2110,70,596,2735
1402,9520,80,4130,2.3,4155,60,445,3018
1403,9375,70,4655,2.0,4780,50,321,1916
1404,3540,70,2080,1.7,2115,40,384,3112
1405,2910,80,1180,2.5,1190,80,910,2277
1406,3515,80,1615,2.1,1710,70,677,2288
1411,9965,80,4500,2.2,4675,60,525,955
1412,7640,80,3110,2.4,3100,80,614,1683
1421,6045,60,2765,2.2,2790,50,339,1725
1422,14740,60,6375,2.3,6340,60,351,1682
1423,5565,80,2385,2.3,2360,70,401,1200
1424,4670,80,1980,2.4,2025,70,400,585
1426,890,90,365,2.4,340,90,501,145
1427,990,80,445,2.2,450,70,402,970
1428,115,90,45,2.4,50,90,391,127
1431,12800,80,5765,2.2,5845,60,401,1026
1432,10385,70,4135,2.5,3705,70,502,914
1433,9265,80,3810,2.4,3815,70,392,829
1435,4300,80,1905,2.3,1775,60,372,471
1436,505,80,235,2.1,215,80,342,695
1437,50,60,30,1.7,30,30,456,188
1438,165,80,75,2.2,75,90,300,212
1441,14740,70,7315,2.0,7395,50,301,2748
1442,6810,70,3365,2.0,3465,50,262,2729
1443,7790,60,3890,2.0,3850,30,260,3048
1444,6695,70,3245,1.9,3475,60,276,1718
1445,9270,70,4365,2.1,4275,50,273,2339
1446,4975,70,2195,2.2,2185,60,303,1448
1447,12300,80,5170,2.4,5245,70,354,1905
1448,18945,70,7590,2.5,7815,70,385,2002
1451,410,90,170,2.4,175,80,647,97
1452,1845,80,800,2.3,775,80,407,243
1454,560,80,235,2.4,225,80,575,67
1456,1975,90,820,2.4,730,80,466,195
1458,180,90,70,2.6,70,80,569,14
1461,4170,90,1670,2.5,1650,80,520,1262
1462,5155,90,2100,2.4,2140,70,411,528
1463,605,90,235,2.6,230,90,588,40
1464,790,90,320,2.5,305,80,569,58
1471,790,90,330,2.4,310,90,496,318
1472,695,90,285,2.4,295,80,494,65
1473,795,90,315,2.5,320,80,537,97
1474,3435,90,1455,2.3,1475,80,352,396
1475,555,90,230,2.4,230,90,407,51
1476,125,80,55,2.2,65,80,470,21
1477,170,90,75,2.3,75,90,482,30
1481,115,90,40,2.7,35,90,443,125
1482,145,90,55,2.5,45,90,558,20
1483,4255,90,1880,2.3,1845,70,352,609
1484,895,90,355,2.4,355,80,416,432
1485,90,90,35,2.7,35,90,721,82
1486,755,90,355,2.1,290,90,390,115
1487,140,90,65,2.1,105,90,295,113
1488,215,90,75,2.8,70,90,528,68
1489,160,90,65,2.5,60,90,565,31
1501,6490,60,3200,2.0,3080,50,266,3766
1502,8550,50,4235,2.0,4500,40,273,3762
1503,11340,40,4990,2.3,4875,40,271,2651
1504,8360,30,3475,2.4,3225,30,254,2217
1505,6605,40,2950,2.2,2795,40,273,2161
1506,13215,60,6495,2.0,6340,60,325,3130
1507,13210,60,5890,2.2,5690,60,346,1910
1508,4805,50,2295,2.1,2155,50,252,1912
1509,6485,80,3025,2.1,2910,60,329,962
1511,9640,80,4095,2.3,4135,70,411,1068
1521,11520,70,5830,1.9,5875,50,264,1711
1525,590,80,250,2.3,240,60,361,358
1531,13040,80,5790,2.2,5730,60,323,1777
1534,480,90,210,2.3,210,80,422,248
1536,320,90,130,2.4,130,80,452,75
1541,11165,70,5090,2.2,5065,60,325,2000
1544,8490,70,3870,2.2,3910,50,308,1375
1546,705,90,315,2.3,315,70,457,146
