Feature,PC2_Loading
eucl_dist_to_Alexanderplein_square,0.04636496788264567
eucl_dist_to_Oosterpark_square,0.043903135536405576
eucl_dist_to_Molenwerf_sqrt,0.04364643347859563
eucl_dist_to_Spaklerweg_square,0.0430784063587294
eucl_dist_to_Noorderpark_square,0.042760192698021546
eucl_dist_to_nearest_park_inverse,0.04102067712514399
eucl_dist_to_Kattenburgerstraat_square,0.04066112955508455
eucl_dist_to_Eerste Van Swindenstraat_square,0.03837689815237305
eucl_dist_to_Burg. De Vlugtlaan_sqrt,0.037166844203544575
eucl_dist_to_Hoogte Kadijk_square,0.037153676163647134
eucl_dist_to_Linnaeusstraat / Wijttenbachstraat_square,0.03651746545554905
eucl_dist_to_Burg. Rendorpstraat_sqrt,0.03432567768681787
eucl_dist_to_Eerste Coehoornstraat_square,0.03425295953318028
eucl_dist_to_Osdorpplein Oost_sqrt,0.03419404760495715
eucl_dist_to_Oostpoort_square,0.03408458055671004
eucl_dist_to_Ecuplein_sqrt,0.033283974972144297
eucl_dist_to_nearest_tramsubway_sqrt,0.03288393698628064
eucl_dist_to_Pontanusstraat_square,0.032739888594432574
eucl_dist_to_Inarisstraat_sqrt,0.032601834163662004
eucl_dist_to_Osdorpplein West_sqrt,0.03251367022828205
eucl_dist_to_Sloterpark_sqrt,0.03246402171809831
eucl_dist_to_Hoekenes_sqrt,0.031850138758744345
eucl_dist_to_Dijkgraafplein_sqrt,0.03145387225512984
eucl_dist_to_Baden Powellweg_sqrt,0.03124779200565233
eucl_dist_to_Pilatus_sqrt,0.031128681704910913
eucl_dist_to_Burg. Fockstraat_sqrt,0.030907948884727237
eucl_dist_to_Dapperstraat_square,0.03076424501559155
eucl_dist_to_Matterhorn_sqrt,0.030758469038674748
eucl_dist_to_Burg. Röellstraat / Slotermerlaan_sqrt,0.03073950664615169
eucl_dist_to_Park Frankendael_square,0.03061194049870163
eucl_dist_to_nearest_train_station_sqrt,0.0303333425399694
eucl_dist_to_Van der Madeweg_square,0.029926163057209215
eucl_dist_to_Eerste Leeghwaterstraat_square,0.029660167205211262
eucl_dist_to_Burg. Van Leeuwenlaan_sqrt,0.02937202529406506
eucl_dist_to_Hogeweg_square,0.029043207305403617
eucl_dist_to_Station Sloterdijk_sqrt,0.02886867044439337
eucl_dist_to_Station Sloterdijjk_sqrt,0.02886867044439337
eucl_dist_to_Dr. H. Colijnstraat_sqrt,0.02875490503110937
eucl_dist_to_Lambertus Zijlplein_sqrt,0.028523487544910443
eucl_dist_to_Station Amsterdam Muiderpoort_square,0.028409126743625272
eucl_dist_to_Burg.Eliasstraat_sqrt,0.02837148595759681
eucl_dist_to_Plein `40-`45_sqrt,0.027771759285281424
eucl_dist_to_De Bretten_sqrt,0.027444319609007305
eucl_dist_to_Station Amsterdam Sloterdijk_sqrt,0.027369584526940206
eucl_dist_to_Zeeburgerdijk_square,0.026246372628160253
eucl_dist_to_Muiderpoortstation_square,0.02624039528373536
eucl_dist_to_Hugo de Vrieslaan_square,0.02412963903315174
eucl_dist_to_Rietlandpark_square,0.023681591699983587
eucl_dist_to_Vliegenbos_square,0.023638544988000026
eucl_dist_to_Station Duivendrecht_square,0.023618330942137916
eucl_dist_to_Noord_square,0.022569679329784032
eucl_dist_to_Javaplein_square,0.020678966787250223
eucl_dist_to_Azartplein_square,0.02005832798734929
eucl_dist_to_C. van Eesterenlaan_square,0.019164827366336793
eucl_dist_to_Kruislaan_square,0.018987995558225702
eucl_dist_to_Molukkenstraat_square,0.018731867682218503
eucl_dist_to_Strandvliet_square,0.01849747719349779
eucl_dist_to_Station Weesp_square,0.017882248136389795
eucl_dist_to_Strand IJburg_square,0.015330163986957822
eucl_dist_to_Soembawastraat_square,0.014905846972846123
eucl_dist_to_Volgermeer_square,0.014452377952059121
eucl_dist_to_Venserpolder_square,0.014387609099323564
eucl_dist_to_Station Amsterdam Bijlmer_square,0.01409570418221052
eucl_dist_to_Station Bijlmer ArenA_square,0.01402212195226697
eucl_dist_to_IJburg_square,0.012772719960278312
eucl_dist_to_Brinkstraat_square,0.012630379947438746
eucl_dist_to_Lumièrestraat_square,0.011739605273047305
eucl_dist_to_Station Amsterdam Science Park_square,0.011594434086080702
